,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,비쌈
27493,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),34.44,201910,19,34000,12,1992,허준로 47,True
27494,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201910,28,39500,7,1992,허준로 47,True
27495,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),49.56,201910,29,51000,6,1992,허준로 47,True
27496,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),34.44,201910,31,34800,10,1992,허준로 47,True
27497,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201910,31,40900,13,1992,허준로 47,True
27498,서울특별시 강서구 가양동,1485,1485,0,가양6단지,49.5,201910,4,54800,8,1992,허준로 175,True
27499,서울특별시 강서구 가양동,1485,1485,0,가양6단지,39.6,201910,8,42000,7,1992,허준로 175,True
27501,서울특별시 강서구 가양동,1485,1485,0,가양6단지,49.5,201910,13,56900,8,1992,허준로 175,True
27502,서울특별시 강서구 가양동,1485,1485,0,가양6단지,49.5,201910,14,54800,13,1992,허준로 175,True
27503,서울특별시 강서구 가양동,1485,1485,0,가양6단지,49.5,201910,17,54000,12,1992,허준로 175,True
27504,서울특별시 강서구 가양동,1485,1485,0,가양6단지,49.5,201910,18,50000,1,1992,허준로 175,True
27505,서울특별시 강서구 가양동,1485,1485,0,가양6단지,39.6,201910,18,42500,6,1992,허준로 175,True
27506,서울특별시 강서구 가양동,1485,1485,0,가양6단지,49.5,201910,29,55000,9,1992,허준로 175,True
27509,서울특별시 강서구 가양동,1490,1490,0,가양도시개발9-2단지,34.44,201910,4,34900,2,1993,허준로 234,True
27510,서울특별시 강서구 가양동,1490,1490,0,가양도시개발9-2단지,49.5,201910,9,52500,14,1993,허준로 234,True
27511,서울특별시 강서구 가양동,1490,1490,0,가양도시개발9-2단지,34.44,201910,11,37500,11,1993,허준로 234,True
